study_hours,sleep_hours,attendance_pct,previous_score,assignments_done,stress_level,parental_education,gender,tutoring,exam_score
7.96560443700367,4.372378639240932,90.56391812838832,88.04547988421834,7,5.0,high_school,female,1,92.61797771247271
4.949905957768471,6.749572249219083,66.78336952862257,71.58671908658314,7,1.0,bachelor,male,0,68.43500180217221
8.727381279202442,4.774180343092251,97.1785096936062,47.13983230356011,2,7.0,master,male,0,71.43215985900855
7.276312261534275,4.913960260945454,79.0476753830642,82.19725004622099,3,5.0,high_school,male,1,76.53690537375384
1.8475961309888458,7.793696878181261,46.95393191915497,35.91366269739504,10,,,female,1,49.82199016226107
9.780601164730804,6.357564349421399,93.10557929360805,84.20924841141482,9,7.0,bachelor,female,0,88.06068437747996
7.850257317913177,9.53111470092997,69.35591144984787,71.29896555701094,4,8.0,master,female,1,76.72989294960321
8.074578747492584,5.91493896764842,48.4983380783743,37.752522287748114,2,5.0,bachelor,male,0,63.66499920137749
2.1530226940799126,8.357080770303407,49.16140803048524,35.56538941646592,3,1.0,master,female,0,47.545636182635036
5.053473441060104,6.766596580929446,81.2520361065923,82.55854334055238,5,2.0,bachelor,male,0,82.06380231330041
4.337182218093231,7.959707806775673,42.84235040376939,50.5055134552686,6,5.0,high_school,male,1,65.14491384766373
9.340884899637416,7.598172140295942,57.195625894828794,92.25112955370494,2,4.0,bachelor,male,0,86.27709875356268
6.794786080725981,6.836703836553989,48.387255428192084,83.34511147211232,0,8.0,high_school,female,0,60.8746684435709
8.40485451943747,,66.46464577703705,78.87331713024012,5,5.0,master,female,1,84.6865834975959
4.99072778944598,6.056281856529735,64.86122631966168,49.502423684341565,8,9.0,high_school,female,0,65.18809759791328
3.0451484960629918,5.063413007495635,71.31258608133135,79.62611633151326,1,2.0,high_school,female,0,58.608368662551605
5.991263083142513,8.06856436527897,56.778179746151814,96.37033791603838,4,4.0,bachelor,male,1,90.53343560621065
1.574355304937578,9.076045367847453,41.922615362690635,36.40918840593982,1,8.0,bachelor,female,1,35.444516467110056
8.44868054793324,4.241522439639542,76.86316639211114,52.83138494024962,2,2.0,bachelor,male,0,79.01699934455839
6.684979592098584,6.697796130536084,62.423080172941084,46.42705858231159,6,4.0,bachelor,female,0,66.14150438413405
7.822789660768365,9.354926138123957,79.08009992440279,57.52750940804667,3,8.0,phd,male,1,83.07814737098751
4.190733713168815,8.497711713537205,46.52001824825611,81.96328583977625,2,6.0,master,female,0,66.07057931526224
9.736282219554129,9.95084629898577,40.82664131764302,63.19698069977706,10,8.0,master,female,0,79.69195815384339
9.038090091899779,,54.89765487311757,69.95114242841724,1,6.0,bachelor,female,0,69.72925889879048
8.005451473663857,7.959974312806907,67.39283937964314,51.99084216548397,2,9.0,bachelor,female,0,61.684594924953636
2.751748370667708,5.814881686827569,63.64431845010804,39.89024869609704,10,9.0,bachelor,male,1,51.367353589853295
5.200489033543308,9.685213597995954,88.61815331640798,48.68535542564099,6,10.0,bachelor,male,0,70.25238029389082
1.394233892085059,6.198012931339218,62.67025865156944,90.1776210869391,0,2.0,bachelor,female,0,52.65177164788277
2.3886054286079306,8.431064276119772,71.82647077618473,72.16918735073872,4,6.0,bachelor,female,0,59.49423532349983
7.147440579182092,6.418841224714491,75.61093554653154,56.459207123806365,6,2.0,high_school,male,0,78.18410406046262
7.702859403170354,7.370913580377996,41.3098834987487,85.29341872149112,2,3.0,high_school,female,0,64.89105336382468
9.70758759190789,8.318695210129277,70.90800261077135,34.51202027184361,6,4.0,master,male,1,86.98666157390689
3.9324282232433676,7.053604910508126,60.68987556393027,47.772376154567,7,7.0,high_school,female,1,59.235629757954534
4.33413735431382,9.442517961457051,65.27680766099527,46.10722078401375,2,5.0,bachelor,male,0,57.78147566925121
5.226002301482271,6.515805927566861,46.01724390971501,98.97551935177555,8,9.0,bachelor,male,0,74.58979330814378
2.705242231758571,7.882430788859951,86.9692339389187,79.42690076749321,4,3.0,,female,0,73.58082971581993
2.169293548019245,6.054174599800325,96.54425504851136,73.24501554719879,10,7.0,master,female,0,69.94767581298309
5.281344336033404,6.448940009386078,41.336129237776,30.348947570613102,0,,high_school,female,0,30.767599931836415
3.042184141457957,6.640300649401315,76.08236576868087,42.90170014629002,3,10.0,master,female,0,47.2356172142559
7.028325952142593,4.754842109873712,85.83064403730148,74.48789050811547,7,3.0,master,female,1,87.01180695875394
4.934367269850977,4.55034207435404,57.08845531899337,56.580352853716604,9,8.0,high_school,male,1,60.93987218300612
8.494103764520537,8.004939538880548,87.253335091793,94.69962685753426,2,1.0,high_school,female,0,92.34847507041881
7.302385918020242,7.933106430058314,77.94130304597807,83.53069533992306,10,6.0,bachelor,female,1,92.3785390537071
3.8112997724383697,7.977458285260571,95.7497579362642,61.3168850962884,2,5.0,bachelor,female,0,58.873988361669504
8.49033821255681,4.11859867205615,98.86028868122636,82.46604842767894,4,10.0,high_school,female,0,84.79932842906362
8.242879217471216,5.9592810560306795,42.54076683992229,98.2783026678355,3,8.0,phd,male,1,75.96499643512611
4.487305411271571,5.1868590835551815,66.69626566162037,62.26865772910294,4,10.0,high_school,female,0,53.65894671490442
3.5949529353721967,8.668908535264073,72.8192672546931,74.97681215219734,9,9.0,master,female,0,68.13257058630371
7.14245953577478,9.16378240837678,48.80459399245915,94.30652305429066,8,5.0,high_school,male,1,93.43016706952245
2.257772352483788,5.480082263356884,60.177149825641706,47.40722634253213,8,8.0,phd,female,0,49.18109266179802
2.799173822275975,8.007094953087918,99.25884686538771,92.05905395663947,2,1.0,high_school,male,1,78.35444950719348
1.0662604277590497,4.7761768207496464,40.973827380548286,36.828129474108785,10,6.0,bachelor,female,0,39.192674751880375
8.082319397519246,5.6509151536102795,67.15047589146305,75.39137194113525,4,1.0,bachelor,female,1,85.52571391987567
6.983657709328289,4.831926977400517,90.55927730309176,84.7986708539049,7,8.0,high_school,male,0,87.81780713127672
7.346488407637016,5.701124599595375,59.43407576315731,73.02243534766983,7,10.0,master,female,0,74.41075176128031
8.026561279197711,8.048419284095667,68.7879101653092,64.68743629067802,7,7.0,high_school,male,0,82.00174389197693
5.13024197984506,9.461961461111514,98.6827447472788,73.21429699479802,6,9.0,bachelor,female,1,84.17009679158801
6.118670763576044,5.215134447545116,68.49261018854223,40.61645961456112,5,3.0,bachelor,female,0,56.56062886782954
2.258172983148917,,47.85527872878994,45.08994972311528,7,10.0,bachelor,male,1,45.09290376500191
2.030770661823761,8.208346607460594,43.10328949998346,48.89295407694394,9,6.0,high_school,male,0,50.28147226901842
7.015626656114245,9.717534810913394,96.72499434639691,71.84455384410268,4,7.0,high_school,male,0,79.44689363935306
5.239865855288192,7.6603628973230435,55.948564796503945,60.933075162154935,5,8.0,high_school,male,0,56.640881619044805
6.087124958330699,5.530641586164284,70.24383439387306,47.11330897400877,1,7.0,bachelor,male,0,48.04795558474319
7.88498971674423,7.752868941483618,45.44210596539811,91.79665325012061,3,4.0,high_school,male,1,75.7143123522343
6.712464880005317,5.922946970068097,65.4193072330363,56.17452882052564,8,7.0,phd,male,0,69.1822466691467
5.982214605921962,,95.80633115500744,61.222220346092385,7,7.0,bachelor,male,1,83.7064189590112
6.032864446708722,6.398056810981821,70.1447796178563,58.67907535842962,2,9.0,bachelor,male,0,56.56039614412938
3.7355508825635098,8.112566324566085,98.26810910813967,42.73600686937269,6,5.0,bachelor,male,0,65.51303786703123
1.2773605111114548,4.13936549408055,55.53013823424398,81.21389108011633,8,6.0,high_school,female,1,57.149367700749146
4.9304565030912615,6.400368676808532,70.27271438223623,61.39207835882006,1,6.0,bachelor,female,1,65.98513662569013
2.931262055375763,9.250645679935069,91.57184750855951,31.13799769249029,0,2.0,high_school,male,1,55.34805013852487
4.676757793521725,7.661364666599475,66.89514127322462,97.4809591651858,4,1.0,bachelor,female,0,79.51568647071416
8.680627659413496,6.663657318375858,56.76924241421138,87.10345281167895,7,1.0,bachelor,male,1,93.21478708623356
3.1054553727880667,,91.32852180507291,80.64915478642624,3,7.0,bachelor,female,1,66.72643653091534
1.5247246752015942,9.123906256883375,63.39336813235654,90.83643093629703,9,5.0,phd,male,0,68.52186248249518
3.532455028197969,5.9332940429376295,71.84339746361405,93.47650775238853,9,9.0,high_school,male,1,70.84485074452337
3.6423438199001525,7.2672904122480375,98.59162398490874,53.624279446910705,5,8.0,bachelor,female,0,62.871658341780886
6.957248632542056,6.938945536554776,51.188997685351836,72.7671074891689,4,2.0,high_school,male,1,72.72396325692881
6.013289371071505,7.793215000689174,58.084038203211136,72.61654664439159,0,2.0,bachelor,female,1,70.63219647763677
8.05508388195772,6.004667601752534,41.8641760041904,48.71097681674179,9,4.0,master,male,1,69.4083144051604
6.9788218629464875,5.4652300045953295,63.51026259460316,45.536657601294706,9,10.0,high_school,male,1,70.08152275598405
4.657481752960635,9.476031011533216,52.011005835091574,37.973507837331546,4,1.0,bachelor,male,1,63.55688948942721
8.326183461994312,9.543246996991037,80.80209612447348,76.1519937141517,5,2.0,bachelor,female,1,97.1700429359692
2.5027562791693354,9.059937314571874,50.87928752595114,84.66432937215458,8,1.0,high_school,male,0,65.89402141617619
1.2044086582047444,9.869226584587368,80.48876514435219,83.26670856619026,7,5.0,phd,female,0,67.73170994999526
1.8104307469807757,8.469949154678131,55.808525691359065,52.139276402948205,1,10.0,bachelor,female,0,40.330948835417
7.501234155368053,8.588003371371997,61.313070047271985,44.36818953256416,7,7.0,master,female,0,76.2871530791929
